2026-02-28 22:15:39,850 | INFO     | __main__ | 🚀 Iniciando Agente de Capitales (ENV=development)...
2026-02-28 22:15:40,148 | INFO     | bot.app | ✅ Bot configurado con 1 handlers
2026-02-28 22:15:40,148 | INFO     | __main__ | ✅ Bot en línea. Escuchando mensajes...
2026-02-28 22:15:57,441 | INFO     | __main__ | 🚀 Iniciando Agente de Capitales (ENV=development)...
2026-02-28 22:15:57,733 | INFO     | bot.app | ✅ Bot configurado con 1 handlers
2026-02-28 22:15:57,733 | INFO     | __main__ | ✅ Bot en línea. Escuchando mensajes...
2026-03-01 01:05:43,147 | INFO     | main | 🚀 Iniciando Agente de Capitales (ENV=development)...
2026-03-01 01:05:43,502 | INFO     | bot.app | ✅ Bot configurado con 1 handlers
2026-03-01 01:05:43,502 | INFO     | main | ✅ Bot en línea. Escuchando mensajes...
2026-03-01 01:08:54,720 | INFO     | bot.handlers.pdf | Descargando PDF...
2026-03-01 01:08:57,058 | INFO     | bot.handlers.pdf | PDF descargado en C:\Users\Usuario\AppData\Local\Temp\tmp8mrw3osj.pdf
2026-03-01 01:08:57,433 | INFO     | bot.handlers.pdf | Contenido extraído, enviando a Groq...
2026-03-01 01:08:57,475 | INFO     | ai.pdf_parser | PDF pre-procesado: 11 transacciones, 8 meses cuotas a vencer
2026-03-01 01:08:59,658 | INFO     | bot.handlers.pdf | Groq respondió: 11 transacciones
2026-03-01 01:08:59,658 | INFO     | bot.handlers.pdf | Enviando resumen al usuario...
2026-03-01 01:09:00,033 | INFO     | bot.handlers.pdf | Resumen enviado OK
2026-03-01 01:09:00,033 | INFO     | bot.handlers.pdf | Preview construido (400 chars)
2026-03-01 01:09:00,033 | INFO     | bot.handlers.pdf | Enviando preview al usuario...
2026-03-01 01:09:00,394 | INFO     | bot.handlers.pdf | Preview enviado OK
2026-03-01 01:09:24,114 | INFO     | bot.handlers.pdf | Callback recibido: pdf_import_all
2026-03-01 01:09:24,935 | INFO     | bot.handlers.pdf | query.answer() OK
2026-03-01 01:09:24,935 | INFO     | bot.handlers.pdf | Transacciones pendientes: 11
2026-03-01 01:09:24,935 | INFO     | bot.handlers.pdf | Obteniendo usuario de DB...
2026-03-01 01:09:26,519 | INFO     | bot.handlers.pdf | Usuario OK: 1524cfab-1523-48ea-8c0a-6002ca702e29
2026-03-01 01:09:28,009 | INFO     | bot.handlers.pdf | Guardado: 11 OK, 0 errores
2026-03-01 01:09:28,360 | INFO     | bot.handlers.pdf | Callback completado OK
